like,image,title,seviye,like,ogrenci
,https://assets-btkakademi-gov-tr.akamaized.net/api/gallery/51/94fc306a-15e3-43ee-9aa1-f271dc110e72/241_0x220.png?t=1724052378360,Sızma Testi,Temel Seviye,1,2.6K
,https://assets-btkakademi-gov-tr.akamaized.net/api/gallery/51/29ebb59b-472b-489a-816d-8033e9a31cdc/233_0x220.png?t=1721657186088,Elasticsearch v8,Orta Seviye,9,904
,https://assets-btkakademi-gov-tr.akamaized.net/api/gallery/51/884316f4-1a56-4b0c-b6e3-b07241275c92/210_ileri_seviye_python_0x220.png?t=1721216206652,İleri Seviye Python Programlama Dili,Genel Seviye,95,4.4K
,https://assets-btkakademi-gov-tr.akamaized.net/api/gallery/51/7b0d1b80-7c63-49a3-b0ca-2503c1fc9463/161_0x220.png?t=1721139183214,Veri Tabanına Giriş,Temel Seviye,112,6.8K
,https://assets-btkakademi-gov-tr.akamaized.net/api/gallery/51/91e78ed2-6e25-44aa-ac60-97f98bee6893/342_2_0x220.png?t=1717746301659,Python ile Makine Öğrenmesi Uygulamaları,Orta Seviye,61,4.4K
,https://assets-btkakademi-gov-tr.akamaized.net/api/gallery/51/5f8a9a7b-74ac-4c62-857e-bfdef090bc12/356_0x220.png?t=1716465831398,Kotlin ile Android Mobil Uygulama Geliştirme İleri Seviye,İleri Seviye,45,2.9K
,https://assets-btkakademi-gov-tr.akamaized.net/api/gallery/51/b0765694-9652-4c90-8c3e-cd4276fc052a/228_0x220.png?t=1716453316865,Kotlin ile Android Mobil Uygulama Geliştirme Temelleri ,Orta Seviye,78,3.5K
,https://assets-btkakademi-gov-tr.akamaized.net/api/gallery/51/32086c27-8c6e-4415-955c-f2fcba425c8c/227_0x220.png?t=1714401664331,Kotlin Programlama Dili,Temel Seviye,147,6.2K
,https://assets-btkakademi-gov-tr.akamaized.net/api/gallery/51/f192b9b7-b448-4a44-8df2-21b09278b725/341_0x220.png?t=1714725343997,Makine Öğrenmesi,Orta Seviye,111,5.1K
,https://assets-btkakademi-gov-tr.akamaized.net/api/gallery/51/15a9c356-3e74-4a35-bb95-1022024a18af/338_0x220.png?t=1709211256068,Python Programlama Dili,Orta Seviye,193,11K
,https://assets-btkakademi-gov-tr.akamaized.net/api/gallery/51/779b61e3-163f-4766-b28b-44026791aae8/330_0x220.png?t=1709111195201,Web Servislerine Giriş,Temel Seviye,132,7.2K
,https://assets-btkakademi-gov-tr.akamaized.net/api/gallery/51/de1c904e-1992-4e7c-aad3-521d58f6464b/313_0x220.png?t=1707393134297,Dart Programlama Dili,Orta Seviye,75,2.8K
